timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1770538248580992600,0.9647490382194519,-10.29050350189209,1382.678575515747,1560.5651021003723,1331.122055053711,1237.7144694328308,122.0,71.5,1,1,0,0
1770538248612677500,1.0822638273239136,-8.036056518554688,1362.986011505127,1441.5324211120605,1352.5370693206787,1325.5158305168152,133.5,85.5,1,1,0,0
1770538248646271400,0.36160629987716675,-6.2630767822265625,1404.6266841888428,1313.511872291565,1352.5370693206787,1313.511872291565,119.5,79.0,1,1,0,0
1770538248683858700,0.9064465761184692,-8.450032234191895,1354.8060035705566,1482.6331973075867,1354.8060035705566,1325.5158305168152,119.0,78.0,1,1,0,0
1770538248720462800,1.583439588546753,-7.7532477378845215,1346.9401359558105,1328.129482269287,1352.5370693206787,1325.5158305168152,135.0,85.5,1,1,0,0
1770538248759945200,1.3022935390472412,-9.69188404083252,1357.3904514312744,1564.0598058700562,1354.8060035705566,1325.5158305168152,117.5,83.5,1,1,0,0
1770538248796727400,1.0319888591766357,-9.79102611541748,1326.4511489868164,1557.8306436538696,1354.8060035705566,1328.129482269287,122.5,83.0,1,1,0,0
1770538248834739000,0.8313012719154358,-9.165501594543457,1366.0084533691406,1586.7954969406128,1354.8060035705566,1328.129482269287,114.0,85.5,1,1,0,0
1770538248871181900,1.6947441101074219,-9.641129493713379,1416.0979557037354,1272.4603414535522,1354.8060035705566,1325.5158305168152,5.0,23.5,1,1,0,0
1770538248906846400,1.2266716957092285,-11.28551959991455,1430.4318523406982,1345.0631260871887,1354.8060035705566,1328.129482269287,12.0,9.5,1,1,0,0
1770538248948145900,0.7642437815666199,-11.527913093566895,1388.300142288208,1374.1016864776611,1366.0084533691406,1328.129482269287,7.5,15.0,1,1,0,0
1770538248988406300,1.5365756750106812,-11.598979949951172,1373.6869525909424,1351.3943195343018,1373.6869525909424,1328.129482269287,4.0,6.5,1,1,0,0
